"Date","Price","Open","High","Low","Vol.","Change %"
"2021/12/26","966.20","973.40","989.90","948.80","40.46K","-0.62%"
"2021/12/19","972.20","932.50","974.20","906.80","31.38K","4.21%"
"2021/12/12","932.90","942.00","949.50","886.10","21.64K","-0.24%"
"2021/12/05","935.10","930.70","961.20","917.30","15.29K","0.86%"
"2021/11/28","927.10","953.70","981.10","919.00","11.29K","-2.91%"
"2021/11/21","954.90","1,037.60","1,045.20","959.30","6.11K","-7.97%"
"2021/11/14","1,037.60","1,089.30","1,113.40","1,035.20","2.51K","-4.82%"
"2021/11/07","1,090.10","1,037.50","1,100.00","1,037.40","2.50K","5.13%"
"2021/10/31","1,036.90","1,020.30","1,069.90","1,020.00","1.30K","1.49%"
"2021/10/24","1,021.70","1,044.80","1,066.60","1,006.70","43.17K","-2.89%"
"2021/10/17","1,052.10","1,059.00","1,080.80","1,034.80","66.51K","-0.64%"
"2021/10/10","1,058.90","1,027.10","1,064.20","1,002.00","76.52K","2.99%"
"2021/10/03","1,028.20","974.50","1,041.70","939.10","75.03K","5.61%"
"2021/09/26","973.60","981.00","996.50","941.40","43.85K","-0.28%"
"2021/09/19","976.30","933.90","1,010.70","892.90","54.28K","4.69%"
"2021/09/12","932.60","952.00","961.00","918.20","20.60K","-2.81%"
"2021/09/05","959.60","1,023.40","1,028.50","945.90","12.74K","-6.33%"
"2021/08/29","1,024.50","1,010.00","1,028.40","989.00","8.71K","1.70%"
"2021/08/22","1,007.40","992.20","1,020.30","975.20","4.54K","1.18%"
"2021/08/15","995.70","1,028.50","1,028.50","959.30","1.70K","-3.16%"
"2021/08/08","1,028.20","976.60","1,031.00","956.80","1.24K","5.47%"
"2021/08/01","974.90","1,050.00","1,068.00","972.00","1.63K","-7.28%"
"2021/07/25","1,051.50","1,057.10","1,082.80","1,035.70","37.72K","-0.93%"
"2021/07/18","1,061.40","1,101.00","1,107.10","1,042.20","69.94K","-4.25%"
"2021/07/11","1,108.50","1,098.00","1,141.20","1,085.30","72.02K","1.17%"
"2021/07/04","1,095.70","1,088.10","1,118.00","1,062.30","54.15K","0.74%"
"2021/06/27","1,087.70","1,093.20","1,097.70","1,049.10","53.78K","-1.63%"
"2021/06/20","1,105.70","1,044.30","1,113.10","1,026.00","44.90K","5.79%"
"2021/06/13","1,045.20","1,152.30","1,177.60","1,039.00","26.43K","-9.51%"
"2021/06/06","1,155.00","1,172.30","1,183.00","1,131.40","12.99K","-1.16%"
"2021/05/30","1,168.50","1,188.20","1,214.20","1,146.70","8.81K","-1.53%"
"2021/05/23","1,186.60","1,171.00","1,204.90","1,165.90","5.49K","1.12%"
